CMIP6 name,RCMIP name,RCMIP category,longname,unit,warnings,variables of OSCAR used for calculation,OSCAR-CDRMIP,OSCAR-ZECMIP,OSCAR-LUMIP,OSCAR-RCMIP,OSCAR-CMIP6
necbLut,,,Net Carbon Mass Flux into Land-Use Tile,PgC yr-1,Computed as npp - rh - fire - harv,"['D_npp','D_rh1','D_rh2','D_Aland','D_efire','D_Efire_bk','D_NPP_bk','D_Efire_bk','D_Rh1_bk','D_Rh2_bk','D_Ehwp','D_eharv', 'D_egraz','D_Eharv_bk','D_Egraz_bk']",0,0,1,0,0
nep,,,Net Carbon Mass Flux out of Atmosphere due to Net Ecosystem Productivity on Land,PgC yr-1,Computed as npp - rh - fire,"['D_npp','D_rh1','D_rh2','D_Aland','D_efire','D_Efire_bk','D_NPP_bk','D_Efire_bk','D_Rh1_bk','D_Rh2_bk','D_Ehwp']",1,1,1,0,1
npp,,,Carbon Mass Flux out of Atmosphere due to Net Primary Production on Land,PgC yr-1,,"['D_npp','D_NPP_bk','D_Aland']",1,1,0,0,1
nppLut,,,Net Primary Production on Land-Use Tile as Carbon Mass Flux,PgC yr-2,,"['D_npp','D_NPP_bk','D_Aland']",0,0,1,0,0
ohc,,,Ocean Heat Content,ZJ,,['D_OHC'],1,0,0,0,1
permafrostCH4,,,CH4 Emissions from Permafrost,TgC yr-1,,['D_Epf_CH4'],1,0,0,0,1
permafrostCO2,,,CO2 Emissions from Permafrost,PgC yr-1,,['D_Epf_CO2'],1,1,0,0,1
ph,,,pH,1,Arbitrary value of 8.15946734 for the preindustrial value. This arbitrary value does not affect results because outputs are provided with reference to its control.,['D_pH'],1,0,0,0,1
pr,,,Precipitation,mm yr-1,Arbitrary value of 990 mm yr-1 for the preindustrial value. This arbitrary value does not affect results because outputs are provided with reference to its control.,"['D_Pg','D_Pl']",1,1,1,0,1
rf_tot,,,Total Radiative Forcing at the Top of the Atmosphere,W m-2,,['RF'],1,1,0,0,1
rh,,,Carbon Mass Flux into Atmosphere due to Heterotrophic Respiration on Land,PgC yr-0,,"['D_rh1', 'D_rh2', 'D_Aland']",1,1,0,0,1
rhLut,,,Heterotrophic Respiration on Land-Use Tile as Carbon Mass Flux,PgC yr-1,,"['D_rh1', 'D_rh2', 'D_Aland']",0,0,1,0,1
rhLitter,,,Carbon Mass Flux into Atmosphere due to Heterotrophic Respiration from Litter on Land,PgC yr-1,,"['D_rh1', 'D_Aland']",0,0,1,0,1
rhSoil,,,Carbon Mass Flux into Atmosphere due to Heterotrophic Respiration from Soil on Land,PgC yr-1,,"['D_rh2', 'D_Aland']",0,0,1,0,1
tas,,,Near-surface Air Temperature,K,Arbitrary value of 13.9degC for the preindustrial value. This arbitrary value does not affect results because outputs are provided with reference to its control.,"['D_Tg','D_Tl']",1,1,1,0,1
tos,,,Sea Surface Temperature,K,"This is NOT thetao, the potential sea surface temperature.",['D_To'],1,0,0,0,1
wetlandCH4,,,Methane Emissions from Wetlands,TgC yr-1,,['D_Ewet'],1,0,0,0,1
wetlandFrac,,,Wetland Percentage Cover,1,,"['D_Awet', 'D_Aland']",1,0,0,0,1
xco2,,,Atmospheric CO2,ppm,"equivalent of the CMIP6 variable ""co2"".",['D_CO2'],1,0,0,0,0
year,year,,Year,yr,,['year'],1,1,1,0,1
year_breach,,,Date of breach,yr,,['year_breach'],0,0,0,0,0
,Atmospheric Concentrations|CH4,Atmospheric Concentrations,atmospheric concentrations of CH4,ppb,,['D_CH4'],0,0,0,1,0
,Atmospheric Concentrations|CO2,Atmospheric Concentrations,atmospheric concentrations of CO2,ppm,,['D_CO2'],0,0,0,1,0
,Atmospheric Concentrations|F-Gases,Atmospheric Concentrations,"equivalent species atmospheric concentrations of F-gases, expressed as CO2-equivalent",ppm,,[],0,0,0,0,0
,Atmospheric Concentrations|F-Gases|HFC,Atmospheric Concentrations,"equivalent species atmospheric concentrations of hydrofluorocarbons (HFCs and HCFCs), provided as aggregate CO2-equivalent",ppm,,[],0,0,0,0,0
,Atmospheric Concentrations|F-Gases|HFC|HFC125,Atmospheric Concentrations,atmospheric concentrations of HFC125,ppt,,['D_Xhalo'],0,0,0,1,0
,Atmospheric Concentrations|F-Gases|HFC|HFC134a,Atmospheric Concentrations,atmospheric concentrations of HFC134a,ppt,,['D_Xhalo'],0,0,0,1,0
,Atmospheric Concentrations|F-Gases|HFC|HFC143a,Atmospheric Concentrations,atmospheric concentrations of HFC143a,ppt,,['D_Xhalo'],0,0,0,1,0
,Atmospheric Concentrations|F-Gases|HFC|HFC152a,Atmospheric Concentrations,atmospheric concentrations of HFC152a,ppt,,['D_Xhalo'],0,0,0,1,0
,Atmospheric Concentrations|F-Gases|HFC|HFC227ea,Atmospheric Concentrations,atmospheric concentrations of HFC227ea,ppt,,['D_Xhalo'],0,0,0,1,0
,Atmospheric Concentrations|F-Gases|HFC|HFC23,Atmospheric Concentrations,atmospheric concentrations of HFC23,ppt,,['D_Xhalo'],0,0,0,1,0
,Atmospheric Concentrations|F-Gases|HFC|HFC236fa,Atmospheric Concentrations,atmospheric concentrations of HFC236fa,ppt,,['D_Xhalo'],0,0,0,1,0
,Atmospheric Concentrations|F-Gases|HFC|HFC245fa,Atmospheric Concentrations,atmospheric concentrations of HFC245fa,ppt,,['D_Xhalo'],0,0,0,1,0
,Atmospheric Concentrations|F-Gases|HFC|HFC32,Atmospheric Concentrations,atmospheric concentrations of HFC32,ppt,,['D_Xhalo'],0,0,0,1,0
,Atmospheric Concentrations|F-Gases|HFC|HFC365mfc,Atmospheric Concentrations,atmospheric concentrations of HFC365mfc,ppt,,['D_Xhalo'],0,0,0,1,0
,Atmospheric Concentrations|F-Gases|HFC|HFC4310mee,Atmospheric Concentrations,atmospheric concentrations of HFC43-10mee,ppt,,['D_Xhalo'],0,0,0,1,0
,Atmospheric Concentrations|F-Gases|NF3,Atmospheric Concentrations,atmospheric concentrations of nitrogen trifluoride (NF3),ppt,,['D_Xhalo'],0,0,0,1,0
,Atmospheric Concentrations|F-Gases|PFC,Atmospheric Concentrations,"equivalent species atmospheric concentrations of perfluorocarbons (PFCs, as defined by Table 8.A.1 of AR5), provided as aggregate CO2-equivalents",ppt,,[],0,0,0,0,0
,Atmospheric Concentrations|F-Gases|PFC|C2F6,Atmospheric Concentrations,atmospheric concentrations of C2F6,ppt,,['D_Xhalo'],0,0,0,1,0
,Atmospheric Concentrations|F-Gases|PFC|C3F8,Atmospheric Concentrations,atmospheric concentrations of C3F8,ppt,,['D_Xhalo'],0,0,0,1,0
,Atmospheric Concentrations|F-Gases|PFC|C4F10,Atmospheric Concentrations,atmospheric concentrations of C4F10,ppt,,['D_Xhalo'],0,0,0,1,0
,Atmospheric Concentrations|F-Gases|PFC|C5F12,Atmospheric Concentrations,atmospheric concentrations of C5F12,ppt,"Remark: in the default template, C5F12 appears only in atmospheric concentrations. OSCAR represents this compounds, has added variables for emissions, RF and ERF of C5F12.",['D_Xhalo'],0,0,0,1,0
,Atmospheric Concentrations|F-Gases|PFC|C6F14,Atmospheric Concentrations,atmospheric concentrations of C6F14,ppt,,['D_Xhalo'],0,0,0,1,0
,Atmospheric Concentrations|F-Gases|PFC|C7F16,Atmospheric Concentrations,atmospheric concentrations of C7F16,ppt,,['D_Xhalo'],0,0,0,1,0
,Atmospheric Concentrations|F-Gases|PFC|C8F18,Atmospheric Concentrations,atmospheric concentrations of C8F18,ppt,,[],0,0,0,0,0
,Atmospheric Concentrations|F-Gases|PFC|cC4F8,Atmospheric Concentrations,atmospheric concentrations of c-C4F8,ppt,,['D_Xhalo'],0,0,0,1,0
,Atmospheric Concentrations|F-Gases|PFC|CF4,Atmospheric Concentrations,atmospheric concentrations of CF4,ppt,,['D_Xhalo'],0,0,0,1,0
,Atmospheric Concentrations|F-Gases|SF6,Atmospheric Concentrations,atmospheric concentrations of sulfur hexafluoride (SF6),ppt,,['D_Xhalo'],0,0,0,1,0
,Atmospheric Concentrations|F-Gases|SO2F2,Atmospheric Concentrations,atmospheric concentrations of sulfuryl fluoride (SO2F2),ppt,,[],0,0,0,0,0
,Atmospheric Concentrations|Montreal Gases,Atmospheric Concentrations,"equivalent species atmospheric concentrations of Montreal gases, expressed as CO2 equivalent",ppm,,[],0,0,0,0,0
,Atmospheric Concentrations|Montreal Gases|CCl4,Atmospheric Concentrations,atmospheric concentrations of CCl4,ppt,,['D_Xhalo'],0,0,0,1,0
,Atmospheric Concentrations|Montreal Gases|CFC,Atmospheric Concentrations,"atmospheric concentrations of CFC gases, expressed as CO2 equivalent",ppm,,[],0,0,0,0,0
,Atmospheric Concentrations|Montreal Gases|CFC|CFC11,Atmospheric Concentrations,atmospheric concentrations of CFC11,ppt,,['D_Xhalo'],0,0,0,1,0
,Atmospheric Concentrations|Montreal Gases|CFC|CFC113,Atmospheric Concentrations,atmospheric concentrations of CFC113,ppt,,['D_Xhalo'],0,0,0,1,0
,Atmospheric Concentrations|Montreal Gases|CFC|CFC114,Atmospheric Concentrations,atmospheric concentrations of CFC114,ppt,,['D_Xhalo'],0,0,0,1,0
,Atmospheric Concentrations|Montreal Gases|CFC|CFC115,Atmospheric Concentrations,atmospheric concentrations of CFC115,ppt,,['D_Xhalo'],0,0,0,1,0
,Atmospheric Concentrations|Montreal Gases|CFC|CFC12,Atmospheric Concentrations,atmospheric concentrations of CFC12,ppt,,['D_Xhalo'],0,0,0,1,0
,Atmospheric Concentrations|Montreal Gases|CH2Cl2,Atmospheric Concentrations,atmospheric concentrations of CH2Cl2,ppt,,[],0,0,0,0,0
,Atmospheric Concentrations|Montreal Gases|CH3Br,Atmospheric Concentrations,atmospheric concentrations of CH3Br,ppt,,['D_Xhalo'],0,0,0,1,0
,Atmospheric Concentrations|Montreal Gases|CH3CCl3,Atmospheric Concentrations,atmospheric concentrations of CH3CCl3,ppt,,['D_Xhalo'],0,0,0,1,0
,Atmospheric Concentrations|Montreal Gases|CH3Cl,Atmospheric Concentrations,atmospheric concentrations of CH3Cl,ppt,,['D_Xhalo'],0,0,0,1,0
,Atmospheric Concentrations|Montreal Gases|CHCl3,Atmospheric Concentrations,atmospheric concentrations of CHCl3,ppt,,[],0,0,0,0,0
,Atmospheric Concentrations|Montreal Gases|Halon1202,Atmospheric Concentrations,atmospheric concentrations of Halon-1202,ppt,Not in inputs/outputs,[],0,0,0,0,0
,Atmospheric Concentrations|Montreal Gases|Halon1211,Atmospheric Concentrations,atmospheric concentrations of Halon-1211,ppt,,['D_Xhalo'],0,0,0,1,0
,Atmospheric Concentrations|Montreal Gases|Halon1301,Atmospheric Concentrations,atmospheric concentrations of Halon-1301,ppt,,['D_Xhalo'],0,0,0,1,0
,Atmospheric Concentrations|Montreal Gases|Halon2402,Atmospheric Concentrations,atmospheric concentrations of Halon-2402,ppt,,['D_Xhalo'],0,0,0,1,0
,Atmospheric Concentrations|Montreal Gases|HCFC141b,Atmospheric Concentrations,atmospheric concentrations of HCFC141b,ppt,,['D_Xhalo'],0,0,0,1,0
,Atmospheric Concentrations|Montreal Gases|HCFC142b,Atmospheric Concentrations,atmospheric concentrations of HCFC22,ppt,,['D_Xhalo'],0,0,0,1,0
,Atmospheric Concentrations|Montreal Gases|HCFC22,Atmospheric Concentrations,atmospheric concentrations of HCFC22,ppt,,['D_Xhalo'],0,0,0,1,0
,Atmospheric Concentrations|N2O,Atmospheric Concentrations,atmospheric concentrations of N2O,ppb,,['D_N2O'],0,0,0,1,0
,Net Land to Atmosphere Flux|CH4,Carbon Cycle,"net flux of CH4 from the land to the atmosphere (not including AFOLU and other anthropogenic emissions). A positive value indicates release of CH4 from the land, a negative value indicates a net land uptake. ",Mt CH4/yr,"Calculated as the sum of wetlands, permafrost and natural biomass burning. Oxidation of CH4 on land not included. CH4 emissions from anthropogenic biomass burning are in ""Emissions|CH4|Other"".","['D_Ewet','D_Ebb_nat','D_Epf_CH4']",0,0,0,1,0
,Net Land to Atmosphere Flux|CH4|Earth System Feedbacks,Carbon Cycle,"net flux of CH4 from the land to the atmosphere (not including AFOLU and other anthropogenic emissions) due to Earth System Feedbacks. A positive value indicates release of CH4 from the land, a negative value indicates a net land uptake.",Mt CH4/yr,"Calculated as the sum of wetlands, permafrost and natural biomass burning. Oxidation of CH4 on land not included.","['D_Ewet','D_Ebb_nat','D_Epf_CH4']",0,0,0,1,0
,Net Land to Atmosphere Flux|CH4|Earth System Feedbacks|Other,Carbon Cycle,"net flux of CH4 from the land to the atmosphere (not including AFOLU and other anthropogenic emissions) due to non-permafrost feedbacks. A positive value indicates release of CH4 from the land, a negative value indicates a net land uptake.  Please specify in a comment on the comments sheet, which feedbacks are included here. ",Mt CH4/yr,"Calculated as the sum of wetlands and natural biomass burning. Oxidation of CH4 on land not included. CH4 emissions from anthropogenic biomass burning are in ""Emissions|CH4|Other"".","['D_Ewet','D_Ebb_nat']",0,0,0,1,0
,Net Land to Atmosphere Flux|CH4|Earth System Feedbacks|Other|Wetlands,Carbon Cycle,"net flux of CH4 from the land to the atmosphere (not including AFOLU and other anthropogenic emissions) due to wetlands feedbacks. A positive value indicates release of CH4 from the land, a negative value indicates a net land uptake.",Mt CH4/yr,Wetlands only,['D_Ewet'],0,0,0,1,0
,Net Land to Atmosphere Flux|CH4|Earth System Feedbacks|Other|Natural Biomass Burning,Carbon Cycle,"net flux of CH4 from the land to the atmosphere (not including AFOLU and other anthropogenic emissions) due to natural biomass burning feedbacks. A positive value indicates release of CH4 from the land, a negative value indicates a net land uptake.",Mt CH4/yr,"Natural biomass burning only. CH4 emissions from anthropogenic biomass burning are in ""Emissions|CH4|Other"".",['D_Ebb_nat'],0,0,0,0,0
,Net Land to Atmosphere Flux|CH4|Earth System Feedbacks|Permafrost,Carbon Cycle,"net flux of CH4 from the land to the atmosphere (not including AFOLU and other anthropogenic emissions) due to the permafrost feedback. A positive value indicates release of CH4 from the land, a negative value indicates a net land uptake.  ",Mt CH4/yr,Permafrost only,['D_Epf_CH4'],0,0,0,1,0
,Net Land to Atmosphere Flux|CO2,Carbon Cycle,"net flux of CO2 from the land to the atmosphere (not including AFOLU and other anthropogenic emissions). A positive value indicates release of CO2 from the land, a negative value indicates a net land uptake. ",Mt CO2/yr,Calculated as the sum of permafrost and land sink,"['D_Epf_CO2','D_Fland']",0,0,0,1,0
,Net Land to Atmosphere Flux|CO2|Earth System Feedbacks,Carbon Cycle,"net flux of CO2 from the land to the atmosphere (not including AFOLU and other anthropogenic emissions) due to Earth System Feedbacks. A positive value indicates release of CO2 from the land, a negative value indicates a net land uptake.",Mt CO2/yr,Calculated as the sum of permafrost and land sink,"['D_Epf_CO2','D_Fland']",0,0,0,1,0
,Net Land to Atmosphere Flux|CO2|Earth System Feedbacks|Other,Carbon Cycle,"net flux of CO2 from the land to the atmosphere (not including AFOLU and other anthropogenic emissions) due to non-permafrost feedbacks. A positive value indicates release of CO2 from the land, a negative value indicates a net land uptake.  Please specify in a comment on the comments sheet, which feedbacks are included here. ",Mt CO2/yr,Land carbon sink only,['D_Fland'],0,0,0,1,0
,Net Land to Atmosphere Flux|CO2|Earth System Feedbacks|Permafrost,Carbon Cycle,"net flux of CO2 from the land to the atmosphere (not including AFOLU and other anthropogenic emissions) due to the permafrost feedback. A positive value indicates release of CO2 from the land, a negative value indicates a net land uptake.  ",Mt CO2/yr,Permafrost only,['D_Epf_CO2'],0,0,0,1,0
,Net Ocean to Atmosphere Flux|CH4,Carbon Cycle,"net flux of CH4 from the ocean to the atmosphere (not including anthropogenic emissions). A positive value indicates release of CH4 from the ocean, a negative value indicates a net ocean uptake. ",Mt CH4/yr,Oxidation of CH4 on ocean not included (not a flux into ocean). 0.,[],0,0,0,1,0
,Net Ocean to Atmosphere Flux|CO2,Carbon Cycle,"cumulative net flux of CO2 from the ocean to the atmosphere (not including anthropogenic emissions). A positive value indicates release of CO2 from the ocean, a negative value indicates a net ocean uptake. ",Mt CO2/yr,Ocean carbon sink,['D_Focean'],0,0,0,1,0
,Cumulative Net Land to Atmosphere Flux|CH4,Carbon Cycle,"cumulative net flux of CH4 from the land to the atmosphere (not including AFOLU and other anthropogenic emissions). A positive value indicates release of CH4 from the land, a negative value indicates a net land uptake. ",Mt CH4,"Calculated as the sum of cumulated wetlands, permafrost and natural biomass burning. Oxidation of CH4 on land not included.","['D_Ewet','D_Epf_CH4','D_Ebb_nat']",0,0,0,1,0
,Cumulative Net Land to Atmosphere Flux|CH4|Earth System Feedbacks,Carbon Cycle,"cumulative net flux of CH4 from the land to the atmosphere (not including AFOLU and other anthropogenic emissions) due to Earth System Feedbacks. A positive value indicates release of CH4 from the land, a negative value indicates a net land uptake.",Mt CH4,"Calculated as the sum of cumulated wetlands, permafrost and natural biomass burning. Oxidation of CH4 on land not included.","['D_Ewet','D_Ebb_nat','D_Epf_CH4']",0,0,0,1,0
,Cumulative Net Land to Atmosphere Flux|CH4|Earth System Feedbacks|Other,Carbon Cycle,"cumulative net flux of CH4 from the land to the atmosphere (not including AFOLU and other anthropogenic emissions) due to non-permafrost feedbacks. A positive value indicates release of CH4 from the land, a negative value indicates a net land uptake.  Please specify in a comment on the comments sheet, which feedbacks are included here. ",Mt CH4,Calculated as the sum of cumulated wetlands and natural biomass burning. Oxidation of CH4 on land not included.,"['D_Ewet','D_Ebb_nat']",0,0,0,1,0
,Cumulative Net Land to Atmosphere Flux|CH4|Earth System Feedbacks|Other|Wetlands,Carbon Cycle,"cumulative net flux of CH4 from the land to the atmosphere (not including AFOLU and other anthropogenic emissions) due to wetlands feedbacks. A positive value indicates release of CH4 from the land, a negative value indicates a net land uptake.",Mt CH4/yr,Wetlands only,['D_Ewet'],0,0,0,1,0
,Cumulative Net Land to Atmosphere Flux|CH4|Earth System Feedbacks|Other|Natural Biomass Burning,Carbon Cycle,"cumulative net flux of CH4 from the land to the atmosphere (not including AFOLU and other anthropogenic emissions) due to natural biomass burning feedbacks. A positive value indicates release of CH4 from the land, a negative value indicates a net land uptake. ",Mt CH4/yr,Natural biomass burning only,['D_Ebb_nat'],0,0,0,1,0
,Cumulative Net Land to Atmosphere Flux|CH4|Earth System Feedbacks|Permafrost,Carbon Cycle,"cumulative net flux of CH4 from the land to the atmosphere (not including AFOLU and other anthropogenic emissions) due to the permafrost feedback. A positive value indicates release of CH4 from the land, a negative value indicates a net land uptake.  ",Mt CH4,Permafrost only,['D_Epf_CH4'],0,0,0,1,0
,Cumulative Net Land to Atmosphere Flux|CO2,Carbon Cycle,"cumulative net flux of CO2 from the land to the atmosphere (not including AFOLU and other anthropogenic emissions). A positive value indicates release of CO2 from the land, a negative value indicates a net land uptake. ",Mt CO2,Calculated as the sum of cumulated permafrost and land sink,"['D_Epf_CO2','D_Fland']",0,0,0,1,0
,Cumulative Net Land to Atmosphere Flux|CO2|Earth System Feedbacks,Carbon Cycle,"cumulative net flux of CO2 from the land to the atmosphere (not including AFOLU and other anthropogenic emissions) due to Earth System Feedbacks. A positive value indicates release of CO2 from the land, a negative value indicates a net land uptake.",Mt CO2,Calculated as the sum of cumulated permafrost and land sink,"['D_Epf_CO2','D_Fland']",0,0,0,1,0
,Cumulative Net Land to Atmosphere Flux|CO2|Earth System Feedbacks|Other,Carbon Cycle,"cumulative net flux of CO2 from the land to the atmosphere (not including AFOLU and other anthropogenic emissions) due to non-permafrost feedbacks. A positive value indicates release of CO2 from the land, a negative value indicates a net land uptake.  Please specify in a comment on the comments sheet, which feedbacks are included here. ",Mt CO2,Land carbon sink only,['D_Fland'],0,0,0,1,0
,Cumulative Net Land to Atmosphere Flux|CO2|Earth System Feedbacks|Permafrost,Carbon Cycle,"cumulative net flux of CO2 from the land to the atmosphere (not including AFOLU and other anthropogenic emissions) due to the permafrost feedback. A positive value indicates release of CO2 from the land, a negative value indicates a net land uptake.  ",Mt CO2,Permafrost only,['D_Epf_CO2'],0,0,0,1,0
,Cumulative Net Ocean to Atmosphere Flux|CH4,Carbon Cycle,"cumulative net flux of CH4 from the ocean to the atmosphere (not including anthropogenic emissions). A positive value indicates release of CH4 from the ocean, a negative value indicates a net ocean uptake. ",Mt CH4,Oxidation of CH4 on ocean not included (not a flux into ocean). 0.,[],0,0,0,1,0
,Cumulative Net Ocean to Atmosphere Flux|CO2,Carbon Cycle,"cumulative net flux of CO2 from the ocean to the atmosphere (not including anthropogenic emissions). A positive value indicates release of CO2 from the ocean, a negative value indicates a net ocean uptake. ",Mt CO2,Cumulated Ocean carbon sink,['D_Focean'],0,0,0,1,0
,Carbon Pool|Atmosphere,Carbon Cycle,total amount of CO2 in the atmospheric carbon pool,Mt CO2,,['D_CO2'],0,0,0,1,0
,Carbon Pool|Soil,Carbon Cycle,total amount of CO2 in the soil carbon pool,Mt CO2,,"['D_csoil2', 'D_Aland','D_Csoil2_bk','csoil1_0','csoil2_0','cveg_0']",0,0,0,1,0
,Carbon Pool|Detritus,Carbon Cycle,total amount of CO2 in the detritus carbon pool,Mt CO2,,"['D_csoil1', 'D_Aland','D_Csoil1_bk','csoil1_0','csoil2_0','cveg_0']",0,0,0,1,0
,Carbon Pool|Plant,Carbon Cycle,total amount of CO2 in the plant carbon pool,Mt CO2,,"['D_cveg', 'D_Aland','D_Cveg_bk','csoil1_0','csoil2_0','cveg_0']",0,0,0,1,0
,Carbon Pool|Other,Carbon Cycle,total amount of CO2 in other carbon pool. Please specify the details in the comments.,Mt CO2,Variable added to account for the carbon stocks in wood products,['D_Chwp'],0,0,0,1,0
,Net Primary Productivity,Carbon Cycle,global total net primary productivity,Mt CO2/yr,,"['D_npp','D_NPP_bk','D_Aland']",0,0,0,1,0
,Carbon Sequestration,CCS,total carbon dioxide emissions captured and stored,Mt CO2/yr,,[],0,0,0,0,0
,Carbon Sequestration|CCS,CCS,"total carbon dioxide emissions captured and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",Mt CO2/yr,,[],0,0,0,0,0
,Carbon Sequestration|CCS|Biomass,CCS,"total carbon dioxide emissions captured from bioenergy use and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",Mt CO2/yr,,[],0,0,0,0,0
,Carbon Sequestration|CCS|Fossil,CCS,"total carbon dioxide emissions captured from fossil fuel use and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",Mt CO2/yr,,[],0,0,0,0,0
,Carbon Sequestration|Direct Air Capture,CCS,total carbon dioxide sequestered through direct air capture,Mt CO2/yr,,[],0,0,0,0,0
,Carbon Sequestration|Enhanced Weathering,CCS,total carbon dioxide sequestered through enhanced weathering,Mt CO2/yr,,[],0,0,0,0,0
,Carbon Sequestration|Feedstocks,CCS,"total carbon dioxide sequestered in feedstocks (e.g., lubricants, asphalt, plastics)",Mt CO2/yr,,[],0,0,0,0,0
,Carbon Sequestration|Land Use,CCS,"total carbon dioxide sequestered through land-based sinks (e.g., afforestation, soil carbon enhancement, biochar)",Mt CO2/yr,,[],0,0,0,0,0
,Carbon Sequestration|Land Use|Afforestation,CCS,total carbon dioxide sequestered through afforestation,Mt CO2/yr,,[],0,0,0,0,0
,Carbon Sequestration|Land Use|Biochar,CCS,total carbon dioxide sequestered through biochar,Mt CO2/yr,,[],0,0,0,0,0
,Carbon Sequestration|Land Use|Other,CCS,total carbon dioxide sequestered through other land-based mitigation techniques,Mt CO2/yr,,[],0,0,0,0,0
,Carbon Sequestration|Land Use|Soil Carbon Management,CCS,total carbon dioxide sequestered through soil carbon management techniques,Mt CO2/yr,,[],0,0,0,0,0
,Carbon Sequestration|Other,CCS,total carbon dioxide sequestered through other techniques (please provide a definition of other sources in this category in the 'comments' tab),Mt CO2/yr,,[],0,0,0,0,0
,Airborne Fraction|CO2,Climate,fraction of (cumulative) emitted CO2 which is still in the atmosphere,Dimensionless,"Calculated as the sum of CO2 emissions from FFI, LUC and permafrost, minus land sink and ocean sink, cumulated over time, divided by the sum of CO2 emissions from FFI and LUC, cumulated over time.","['Eff','D_Eluc', 'D_Epf_CO2','D_Fland','D_Focean']",0,0,0,1,0
,Effective Climate Sensitivity,Climate,"effective climate sensitivity over time, here defined as ECS_eff(t) = \Delta T(t) * RF2x / (RF(t) - dH/dt) where ECS_eff is effective climate sensitivity, \Delta T(t) is Surface Air Temperature Change, RF2x is radiative forcing due to a doubling of atmospheric CO2 concentrations, RF(t) is radiative forcing and dH/dt is the energy imbalance at the top of the atmosphere (likely equal to ocean heat uptake in most of our reduced complexity models)",K,,['D_CO2'],0,0,0,1,0
,Effective Climate Feedback,Climate,"effective climate feedback over time, here defined as \lambda_eff(t) = (RF(t) - dH/dt) / \Delta T(t) where \lambda_eff is effective climate feedback, \Delta T(t) is Surface Air Temperature Change, RF(t) is radiative forcing and dH/dt is the energy imbalance at the top of the atmosphere (likely equal to ocean heat uptake in most of our reduced complexity models)",W/m^2/K,,"['RF','D_Tg']",0,0,0,1,0
,Heat Uptake,Climate,"total Heat Uptake of the Earth System (ZJ is zetta joules i.e. 10^21J), equivalent to the the energy imbalance at the top of the atmosphere. ",ZJ/yr,,"['RF','D_Tg']",0,0,0,1,0
,Heat Uptake|Ice,Climate,ice Heat Uptake  (ZJ is zetta joules i.e. 10^21J),ZJ/yr,,[],0,0,0,0,0
,Heat Uptake|Land,Climate,land Heat Uptake (ZJ is zetta joules i.e. 10^21J),ZJ/yr,,[],0,0,0,0,0
,Heat Uptake|Ocean,Climate,ocean Heat Uptake through surface layer of the ocean (ZJ is zetta joules i.e. 10^21J),ZJ/yr,,"['RF','D_Tg']",0,0,0,1,0
,Heat Uptake|Other,Climate,"other Heat Uptake (ZJ is zetta joules i.e. 10^21J). Please specify what ""other"" is in the Comments sheet. ",ZJ/yr,,[],0,0,0,0,0
,Heat Content|Ocean,Climate,total ocean heat content,ZJ,,['D_OHC'],0,0,0,1,0
,Heat Content|Ocean|0-700m,Climate,ocean heat content between 0 and 700m,ZJ,,[],0,0,0,0,0
,Heat Content|Ocean|700-2000m,Climate,ocean heat content between 700 and 2000m,ZJ,,[],0,0,0,0,0
,Instantaneous TCRE,Climate,warming per unit cumulative CO2 (this should simply be your 'Surface Air Temperature Change' divided by 'Cumulative Emissions|CO2'),K / MtCO2,Calculated as Delta_T / cumulated emissions of CO2,"['D_Tg','Eff', 'D_Eluc']",0,0,0,1,0
,Surface Air Ocean Blended Temperature Change,Climate,change in blended surface air/ocean tempertaure (i.e. quantity which is directly comparable with observational datasets e.g. HadCRUT4 or best proxy thereof). Please note reference period in comment sheet. ,K,,[],0,0,0,0,0
,Surface Air Temperature Change,Climate,change in surface air tempertaure (i.e. 2m air temperature or best proxy thereof). Please note reference period in comment sheet. ,K,Reference period defined at the preindustrial: 1850,"['D_Tg','D_Tl']",0,0,0,1,0
,Surface Ocean Temperature Change,Climate,change in surface layer ocean tempertaure. Please note reference period in comment sheet. ,K,Reference period defined at the preindustrial: 1850,['D_To'],0,0,0,1,0
,Cumulative Emissions|CO2,Cumulative Emissions,cumulative carbon dioxide emissions,Mt CO2,"Only anthropogenic emissions here, no permafrost. CO2 emissions from LUC used here are those calculated by OSCAR.","['Eff','D_NBP_bk']",0,0,0,1,0
,Cumulative Emissions|CO2|MAGICC AFOLU,Cumulative Emissions,"cumulative carbon dioxide emissions from agriculture, forestry and other land use (IPCC category 3), excluding any fossil-fuel based emissions in the Agricultural sector (hence not identical to WG3 AFOLU)",Mt CO2,"Emissions calculated by OSCAR, not MAGICC, using its book-keeping module.",['D_NBP_bk'],0,0,0,1,0
